Order Date,Ship Mode,Customer Name,Segment,State,Category,Sub-Category,Sales,Quantity,Profit,LenCust
11/8/2016,Second Class,Claire Gute,Consumer,Kentucky,Furniture,Bookcases,261.96,2,41.9136,11
11/8/2016,Second Class,Claire Gute,Consumer,Kentucky,Furniture,Chairs,731.94,3,219.582,11
6/12/2016,Second Class,Darrin Van Huff,Corporate,California,Office Supplies,Labels,14.62,2,6.8714,15
10/11/2015,Standard Class,Sean O'Donnell,Consumer,Florida,Furniture,Tables,957.5775,5,-383.031,14
10/11/2015,Standard Class,Sean O'Donnell,Consumer,Florida,Office Supplies,Storage,22.368,2,2.5164,14
6/9/2014,Standard Class,Brosina Hoffman,Consumer,California,Furniture,Furnishings,48.86,7,14.1694,15
6/9/2014,Standard Class,Brosina Hoffman,Consumer,California,Office Supplies,Art,7.28,4,1.9656,15
6/9/2014,Standard Class,Brosina Hoffman,Consumer,California,Technology,Phones,907.152,6,90.7152,15
6/9/2014,Standard Class,Brosina Hoffman,Consumer,California,Office Supplies,Binders,18.504,3,5.7825,15
6/9/2014,Standard Class,Brosina Hoffman,Consumer,California,Office Supplies,Appliances,114.9,5,34.47,15
6/9/2014,Standard Class,Brosina Hoffman,Consumer,California,Furniture,Tables,1706.184,9,85.3092,15
6/9/2014,Standard Class,Brosina Hoffman,Consumer,California,Technology,Phones,911.424,4,68.3568,15
4/15/2017,Standard Class,Andrew Allen,Consumer,North Carolina,Office Supplies,Paper,15.552,3,5.4432,12
12/5/2016,Standard Class,Irene Maddox,Consumer,Washington,Office Supplies,Binders,407.976,3,132.5922,12
11/22/2015,Standard Class,Harold Pawlan,Home Office,Texas,Office Supplies,Appliances,68.81,5,-123.858,13
11/22/2015,Standard Class,Harold Pawlan,Home Office,Texas,Office Supplies,Binders,2.544,3,-3.816,13
11/11/2014,Standard Class,Pete Kriz,Consumer,Wisconsin,Office Supplies,Storage,665.88,6,13.3176,9
5/13/2014,Second Class,Alejandro Grove,Consumer,Utah,Office Supplies,Storage,55.5,2,9.99,15
8/27/2014,Second Class,Zuschuss Donatelli,Consumer,California,Office Supplies,Art,8.56,2,2.4824,18
8/27/2014,Second Class,Zuschuss Donatelli,Consumer,California,Technology,Phones,213.48,3,16.011,18
8/27/2014,Second Class,Zuschuss Donatelli,Consumer,California,Office Supplies,Binders,22.72,4,7.384,18
12/9/2016,Standard Class,Ken Black,Corporate,Nebraska,Office Supplies,Art,19.46,7,5.0596,9
12/9/2016,Standard Class,Ken Black,Corporate,Nebraska,Office Supplies,Appliances,60.34,7,15.6884,9
7/16/2017,Second Class,Sandra Flanagan,Consumer,Pennsylvania,Furniture,Chairs,71.372,2,-1.0196,15
9/25/2015,Standard Class,Emily Burns,Consumer,Utah,Furniture,Tables,1044.63,3,240.2649,11
1/16/2016,Second Class,Eric Hoffmann,Consumer,California,Office Supplies,Binders,11.648,2,4.2224,13
1/16/2016,Second Class,Eric Hoffmann,Consumer,California,Technology,Accessories,90.57,3,11.7741,13
9/17/2015,Standard Class,Tracy Blumstein,Consumer,Pennsylvania,Furniture,Bookcases,3083.43,7,-1665.0522,15
9/17/2015,Standard Class,Tracy Blumstein,Consumer,Pennsylvania,Office Supplies,Binders,9.618,2,-7.0532,15
9/17/2015,Standard Class,Tracy Blumstein,Consumer,Pennsylvania,Furniture,Furnishings,124.2,3,15.525,15
9/17/2015,Standard Class,Tracy Blumstein,Consumer,Pennsylvania,Office Supplies,Envelopes,3.264,2,1.1016,15
9/17/2015,Standard Class,Tracy Blumstein,Consumer,Pennsylvania,Office Supplies,Art,86.304,6,9.7092,15
9/17/2015,Standard Class,Tracy Blumstein,Consumer,Pennsylvania,Office Supplies,Binders,6.858,6,-5.715,15
9/17/2015,Standard Class,Tracy Blumstein,Consumer,Pennsylvania,Office Supplies,Art,15.76,2,3.546,15
10/19/2017,Second Class,Matt Abelman,Home Office,Texas,Office Supplies,Paper,29.472,3,9.9468,12
12/8/2016,First Class,Gene Hale,Corporate,Texas,Technology,Phones,1097.544,7,123.4737,9
12/8/2016,First Class,Gene Hale,Corporate,Texas,Furniture,Furnishings,190.92,5,-147.963,9
12/27/2015,Standard Class,Steve Nguyen,Home Office,Texas,Office Supplies,Envelopes,113.328,9,35.415,12
12/27/2015,Standard Class,Steve Nguyen,Home Office,Texas,Furniture,Bookcases,532.3992,3,-46.9764,12
12/27/2015,Standard Class,Steve Nguyen,Home Office,Texas,Furniture,Chairs,212.058,3,-15.147,12
12/27/2015,Standard Class,Steve Nguyen,Home Office,Texas,Technology,Phones,371.168,4,41.7564,12
9/10/2017,Standard Class,Linda Cazamias,Corporate,Illinois,Technology,Phones,147.168,4,16.5564,14
7/17/2016,Standard Class,Ruben Ausman,Corporate,California,Office Supplies,Storage,77.88,2,3.894,12
9/19/2017,Standard Class,Erin Smith,Corporate,Florida,Office Supplies,Storage,95.616,2,9.5616,10
3/11/2016,First Class,Odella Nelson,Corporate,Minnesota,Technology,Accessories,45.98,2,19.7714,13
3/11/2016,First Class,Odella Nelson,Corporate,Minnesota,Office Supplies,Binders,17.46,2,8.2062,13
10/20/2014,Second Class,Patrick O'Donnell,Consumer,Michigan,Office Supplies,Storage,211.96,4,8.4784,17
6/20/2016,Standard Class,Lena Hernandez,Consumer,Delaware,Technology,Accessories,45.0,3,4.95,14
6/20/2016,Standard Class,Lena Hernandez,Consumer,Delaware,Technology,Phones,21.8,2,6.104,14
4/18/2015,Standard Class,Darren Powers,Consumer,Indiana,Office Supplies,Binders,38.22,6,17.9634,13
4/18/2015,Standard Class,Darren Powers,Consumer,Indiana,Office Supplies,Labels,75.18,6,35.3346,13
4/18/2015,Standard Class,Darren Powers,Consumer,Indiana,Furniture,Furnishings,6.16,2,2.9568,13
4/18/2015,Standard Class,Darren Powers,Consumer,Indiana,Furniture,Chairs,89.99,1,17.0981,13
12/11/2016,Standard Class,Janet Molinari,Corporate,New York,Office Supplies,Fasteners,15.26,7,6.2566,14
12/11/2016,Standard Class,Janet Molinari,Corporate,New York,Technology,Phones,1029.95,5,298.6855,14
6/17/2016,First Class,Ted Butterfield,Consumer,New York,Office Supplies,Storage,208.56,6,52.14,15
6/17/2016,First Class,Ted Butterfield,Consumer,New York,Office Supplies,Paper,32.4,5,15.552,15
6/17/2016,First Class,Ted Butterfield,Consumer,New York,Furniture,Chairs,319.41,5,7.098,15
6/17/2016,First Class,Ted Butterfield,Consumer,New York,Office Supplies,Paper,14.56,2,6.9888,15
6/17/2016,First Class,Ted Butterfield,Consumer,New York,Technology,Accessories,30.0,2,3.3,15
6/17/2016,First Class,Ted Butterfield,Consumer,New York,Office Supplies,Binders,48.48,4,16.362,15
6/17/2016,First Class,Ted Butterfield,Consumer,New York,Office Supplies,Art,1.68,1,0.84,15
11/24/2015,Standard Class,Kunst Miller,Consumer,California,Technology,Accessories,13.98,2,6.1512,12
11/24/2015,Standard Class,Kunst Miller,Consumer,California,Office Supplies,Binders,25.824,6,9.3612,12
11/24/2015,Standard Class,Kunst Miller,Consumer,California,Office Supplies,Paper,146.73,3,68.9631,12
11/24/2015,Standard Class,Kunst Miller,Consumer,California,Furniture,Furnishings,79.76,4,22.3328,12
4/30/2015,Standard Class,Paul Stevenson,Home Office,Illinois,Furniture,Chairs,213.115,5,-15.2225,14
12/5/2014,Standard Class,Brendan Sweed,Corporate,Arizona,Office Supplies,Art,1113.024,8,111.3024,13
12/5/2014,Standard Class,Brendan Sweed,Corporate,Arizona,Technology,Phones,167.968,4,62.988,13
6/4/2016,First Class,Karen Daniels,Consumer,Virginia,Office Supplies,Paper,75.88,2,35.6636,13
9/18/2016,Standard Class,Henry MacAllister,Consumer,New York,Office Supplies,Binders,4.616,1,1.731,17
9/14/2017,Second Class,Tracy Blumstein,Consumer,Michigan,Office Supplies,Paper,19.05,3,8.763,15
4/26/2015,Standard Class,Joel Eaton,Consumer,Tennessee,Furniture,Chairs,831.936,8,-114.3912,10
4/26/2015,Standard Class,Joel Eaton,Consumer,Tennessee,Furniture,Furnishings,97.04,2,1.213,10
4/26/2015,Standard Class,Joel Eaton,Consumer,Tennessee,Office Supplies,Storage,72.784,1,-18.196,10
12/9/2017,First Class,Ken Brennan,Corporate,Texas,Office Supplies,Binders,1.248,3,-1.9344,11
12/9/2017,First Class,Ken Brennan,Corporate,Texas,Furniture,Furnishings,9.708,3,-5.8248,11
12/9/2017,First Class,Ken Brennan,Corporate,Texas,Office Supplies,Storage,27.24,3,2.724,11
11/26/2014,Second Class,Joel Eaton,Consumer,Texas,Furniture,Furnishings,19.3,5,-14.475,10
6/12/2016,First Class,Stewart Carmichael,Corporate,Alabama,Office Supplies,Appliances,208.16,1,56.2032,18
6/12/2016,First Class,Stewart Carmichael,Corporate,Alabama,Office Supplies,Binders,16.74,3,8.0352,18
10/12/2014,Standard Class,Duane Noonan,Consumer,California,Office Supplies,Art,14.9,5,4.172,12
10/12/2014,Standard Class,Duane Noonan,Consumer,California,Office Supplies,Storage,21.39,1,6.2031,12
9/3/2015,Standard Class,Julie Creighton,Corporate,North Carolina,Office Supplies,Envelopes,200.984,7,62.8075,15
11/13/2017,First Class,Christopher Schild,Home Office,Illinois,Office Supplies,Storage,230.376,3,-48.9549,18
5/28/2017,Second Class,Patrick O'Donnell,Consumer,South Carolina,Furniture,Chairs,301.96,2,33.2156,17
10/26/2017,Standard Class,Paul Gonzalez,Consumer,Minnesota,Technology,Accessories,19.99,1,6.7966,13
10/26/2017,Standard Class,Paul Gonzalez,Consumer,Minnesota,Office Supplies,Labels,6.16,2,2.9568,13
4/5/2016,Second Class,Gary Mitchum,Home Office,Texas,Office Supplies,Storage,158.368,7,13.8572,12
9/17/2016,Standard Class,Jim Sink,Corporate,California,Office Supplies,Art,20.1,3,6.633,8
9/17/2016,Standard Class,Jim Sink,Corporate,California,Technology,Phones,73.584,2,8.2782,8
9/17/2016,Standard Class,Jim Sink,Corporate,California,Office Supplies,Paper,6.48,1,3.1104,8
1/31/2015,Second Class,Karl Braun,Consumer,Minnesota,Office Supplies,Paper,12.96,2,6.2208,10
1/31/2015,Second Class,Karl Braun,Consumer,Minnesota,Furniture,Furnishings,53.34,3,16.5354,10
1/31/2015,Second Class,Karl Braun,Consumer,Minnesota,Office Supplies,Binders,32.96,2,16.1504,10
11/6/2017,Standard Class,Roger Barcio,Home Office,Oregon,Office Supplies,Binders,5.682,1,-3.788,12
11/9/2017,Second Class,Parhena Norris,Home Office,New York,Furniture,Furnishings,96.53,7,40.5426,14
6/17/2017,First Class,Katherine Ducich,Consumer,California,Office Supplies,Binders,51.312,3,17.9592,16
9/6/2016,Standard Class,Elpida Rittenbach,Corporate,Minnesota,Office Supplies,Appliances,77.88,6,22.5852,17
8/29/2016,Standard Class,Rick Bensley,Home Office,Illinois,Office Supplies,Paper,64.624,7,22.6184,12
8/29/2016,Standard Class,Rick Bensley,Home Office,Illinois,Technology,Accessories,95.976,3,-10.7973,12
8/29/2016,Standard Class,Rick Bensley,Home Office,Illinois,Office Supplies,Binders,1.788,3,-3.0396,12
12/1/2016,Second Class,Gary Zandusky,Consumer,Minnesota,Office Supplies,Paper,23.92,4,11.7208,13
11/13/2015,Standard Class,Lena Cacioppo,Consumer,Colorado,Technology,Accessories,238.896,6,-26.8758,13
11/13/2015,Standard Class,Lena Cacioppo,Consumer,Colorado,Furniture,Furnishings,102.36,3,-3.8385,13
11/13/2015,Standard Class,Lena Cacioppo,Consumer,Colorado,Office Supplies,Binders,36.882,3,-25.8174,13
11/23/2017,Standard Class,Janet Martin,Consumer,North Carolina,Technology,Accessories,74.112,8,17.6016,12
11/23/2017,Standard Class,Janet Martin,Consumer,North Carolina,Technology,Phones,27.992,1,2.0994,12
11/23/2017,Standard Class,Janet Martin,Consumer,North Carolina,Office Supplies,Art,3.304,1,1.0738,12
10/15/2015,Standard Class,Pete Armstrong,Home Office,Illinois,Technology,Accessories,339.96,5,67.992,14
12/25/2017,Standard Class,Cynthia Voltz,Corporate,New York,Furniture,Furnishings,41.96,2,10.9096,13
11/3/2016,Standard Class,Clay Ludtke,Consumer,Iowa,Office Supplies,Art,75.96,2,22.788,11
11/3/2016,Standard Class,Clay Ludtke,Consumer,Iowa,Office Supplies,Binders,27.24,6,13.3476,11
8/25/2014,Second Class,Ryan Crowe,Consumer,Ohio,Office Supplies,Fasteners,40.096,14,14.5348,10
8/25/2014,Second Class,Ryan Crowe,Consumer,Ohio,Office Supplies,Envelopes,4.72,2,1.652,10
8/25/2014,Second Class,Ryan Crowe,Consumer,Ohio,Office Supplies,Paper,23.976,3,7.4925,10
8/25/2014,Second Class,Ryan Crowe,Consumer,Ohio,Office Supplies,Envelopes,130.464,6,44.0316,10
3/2/2015,Standard Class,Dave Kipp,Consumer,Washington,Furniture,Tables,787.53,3,165.3813,9
4/5/2015,Standard Class,Greg Guthrie,Corporate,Tennessee,Office Supplies,Binders,157.794,1,-115.7156,12
6/12/2016,First Class,Steven Cartwright,Consumer,Delaware,Furniture,Furnishings,47.04,3,18.3456,17
6/12/2016,First Class,Steven Cartwright,Consumer,Delaware,Office Supplies,Binders,30.84,4,13.878,17
