order_date,ship_mode,customer_name,segment,city,state,region,category,sub-category,sales,quantity,profit
11/8/2016,Second Class,Claire Gute,Consumer,Henderson,Kentucky,South,Furniture,Bookcases,261.96,2,41.9136
11/8/2016,Second Class,Claire Gute,Consumer,Henderson,Kentucky,South,Furniture,Chairs,731.94,3,219.582
10/11/2015,Standard Class,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,South,Furniture,Tables,957.5775,5,-383.031
6/9/2014,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,West,Furniture,Furnishings,48.86,7,14.1694
6/9/2014,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,West,Furniture,Tables,1706.184,9,85.3092
7/16/2017,Second Class,Sandra Flanagan,Consumer,Philadelphia,Pennsylvania,East,Furniture,Chairs,71.372,2,-1.0196
9/25/2015,Standard Class,Emily Burns,Consumer,Orem,Utah,West,Furniture,Tables,1044.63,3,240.2649
9/17/2015,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Furniture,Bookcases,3083.43,7,-1665.0522
9/17/2015,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings,124.2,3,15.525
12/8/2016,First Class,Gene Hale,Corporate,Richardson,Texas,Central,Furniture,Furnishings,190.92,5,-147.963
12/27/2015,Standard Class,Steve Nguyen,Home Office,Houston,Texas,Central,Furniture,Bookcases,532.3992,3,-46.9764
12/27/2015,Standard Class,Steve Nguyen,Home Office,Houston,Texas,Central,Furniture,Chairs,212.058,3,-15.147
4/18/2015,Standard Class,Darren Powers,Consumer,New Albany,Indiana,Central,Furniture,Furnishings,6.16,2,2.9568
4/18/2015,Standard Class,Darren Powers,Consumer,New Albany,Indiana,Central,Furniture,Chairs,89.99,1,17.0981
6/17/2016,First Class,Ted Butterfield,Consumer,Troy,New York,East,Furniture,Chairs,319.41,5,7.098
11/24/2015,Standard Class,Kunst Miller,Consumer,Los Angeles,California,West,Furniture,Furnishings,79.76,4,22.3328
4/30/2015,Standard Class,Paul Stevenson,Home Office,Chicago,Illinois,Central,Furniture,Chairs,213.115,5,-15.2225
4/26/2015,Standard Class,Joel Eaton,Consumer,Memphis,Tennessee,South,Furniture,Chairs,831.936,8,-114.3912
4/26/2015,Standard Class,Joel Eaton,Consumer,Memphis,Tennessee,South,Furniture,Furnishings,97.04,2,1.213
12/9/2017,First Class,Ken Brennan,Corporate,Houston,Texas,Central,Furniture,Furnishings,9.708,3,-5.8248
11/26/2014,Second Class,Joel Eaton,Consumer,Houston,Texas,Central,Furniture,Furnishings,19.3,5,-14.475
5/28/2017,Second Class,Patrick O'Donnell,Consumer,Columbia,South Carolina,South,Furniture,Chairs,301.96,2,33.2156
1/31/2015,Second Class,Karl Braun,Consumer,Minneapolis,Minnesota,Central,Furniture,Furnishings,53.34,3,16.5354
11/9/2017,Second Class,Parhena Norris,Home Office,New York City,New York,East,Furniture,Furnishings,96.53,7,40.5426
11/13/2015,Standard Class,Lena Cacioppo,Consumer,Aurora,Colorado,West,Furniture,Furnishings,102.36,3,-3.8385
12/25/2017,Standard Class,Cynthia Voltz,Corporate,New York City,New York,East,Furniture,Furnishings,41.96,2,10.9096
3/2/2015,Standard Class,Dave Kipp,Consumer,Seattle,Washington,West,Furniture,Tables,787.53,3,165.3813
6/12/2016,First Class,Steven Cartwright,Consumer,Wilmington,Delaware,East,Furniture,Furnishings,47.04,3,18.3456
12/26/2014,Second Class,Alan Dominguez,Home Office,Houston,Texas,Central,Furniture,Chairs,600.558,3,-8.5794
